종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"011150","CJ씨푸드","KOSPI",,"3220","-40","-1.23","3240","3285","3150","247535","791866570","115697089060","35930773"
"011155","CJ씨푸드1우","KOSPI",,"17500","-1120","-6.02","18620","18620","17310","1255","22011120","3500000000","200000"
"001045","CJ우","KOSPI",,"60100","600","1.01","59400","60500","59000","8400","501683900","135839402300","2260223"
"097950","CJ제일제당","KOSPI",,"307000","-3500","-1.13","313000","313000","306000","13637","4197718000","4621635102000","15054186"
"097955","CJ제일제당 우","KOSPI",,"136300","-700","-0.51","137400","137400","134600","2875","389754100","180929117900","1327433"
"051500","CJ프레시웨이","KOSDAQ","우량기업부","17700","-420","-2.32","18130","18250","17690","16432","292816000","210127072200","11871586"
"058820","CMG제약","KOSDAQ","우량기업부","2080","-40","-1.89","2100","2115","2065","299603","622862955","288895867520","138892244"
"023460","CNH","KOSDAQ","투자주의환기종목(소속부없음)","430","-43","-9.09","476","478","426","2569351","1148023568","15996000000","37200000"
"056730","CNT85","KOSDAQ","중견기업부","789","3","0.38","786","798","763","30771","24003236","58473725754","74111186"
"000480","CR홀딩스","KOSPI",,"5590","-30","-0.53","5610","5690","5550","12100","67462420","262117839100","46890490"
"065770","CS","KOSDAQ","벤처기업부","1035","-15","-1.43","1050","1050","1034","14516","15148278","20090519550","19411130"
"083660","CSA 코스믹","KOSDAQ","중견기업부","980","2","0.20","967","1016","959","63741","62181158","60022237380","61247181"
"000590","CS홀딩스","KOSPI",,"66500","-100","-0.15","66600","67500","66000","1329","88961000","76773053000","1154482"
"012030","DB","KOSPI",,"1275","-57","-4.28","1332","1530","1274","17607326","24800168937","256496764575","201173933"
"456440","DB금융스팩11호","KOSDAQ","SPAC(소속부없음)","2205","-25","-1.12","2260","2260","2200","27059","59819975","11719575000","5315000"
"477760","DB금융스팩12호","KOSDAQ","SPAC(소속부없음)","2060","5","0.24","2070","2070","2055","4177","8602580","12030400000","5840000"
"016610","DB금융투자","KOSPI",,"5900","1040","21.40","5160","6280","5050","8072729","47173203130","250433695100","42446389"
"005830","DB손해보험","KOSPI",,"117800","-300","-0.25","118000","118200","116400","73076","8588604500","8340240000000","70800000"
"000990","DB하이텍","KOSPI",,"36500","-900","-2.41","37350","37900","36500","231226","8529667600","1620548462000","44398588"
"139130","DGB금융지주","KOSPI",,"8210","-60","-0.73","8330","8330","8150","269139","2214735760","1388687288930","169145833"
"099520","DGI","KOSDAQ","관리종목(소속부없음)","1284","0","0.00","0","0","0","0","0","58141862016","45281824"
"060900","DGP","KOSDAQ","중견기업부","1006","-14","-1.37","1008","1029","991","95493","95860587","25409778374","25258229"
"290120","DH오토리드","KOSDAQ","우량기업부","2660","-60","-2.21","2735","2735","2585","20577","54933740","41270267080","15515138"
"025440","DH오토웨어","KOSDAQ","중견기업부","232","-6","-2.52","240","240","230","140231","32726120","35706219840","153906120"
"001530","DI동일","KOSPI",,"30950","50","0.16","30900","31050","30450","76251","2349045250","780425048400","25215672"
"000210","DL","KOSPI",,"42100","-1050","-2.43","43000","43000","41550","80684","3400418600","882242716400","20955884"
"000215","DL우","KOSPI",,"22500","-1250","-5.26","24250","24250","22350","8175","184292350","37937587500","1686115"
"375500","DL이앤씨","KOSPI",,"30150","-400","-1.31","30600","30600","29800","140029","4215018150","1166612733450","38693623"
"37550L","DL이앤씨2우(전환)","KOSPI",,"20700","-550","-2.59","21500","21500","20650","2604","54173650","43717385700","2111951"
"37550K","DL이앤씨우","KOSPI",,"15610","-260","-1.64","15700","16020","15600","5613","87887510","32997744850","2113885"
"068790","DMS","KOSDAQ","우량기업부","5630","-180","-3.10","5700","5810","5610","37562","212856960","138346333430","24573061"
"007340","DN오토모티브","KOSPI",,"90400","-1500","-1.63","91400","92400","90300","10657","973988000","903458052000","9994005"
"004840","DRB동일","KOSPI",,"4590","-90","-1.92","4630","4665","4580","21763","100270850","91478700000","19930000"
"241520","DSC인베스트먼트","KOSDAQ","중견기업부","2890","-90","-3.02","2995","3005","2870","58937","171519090","79463801250","27496125"
"155660","DSR","KOSPI",,"3870","-55","-1.40","3940","3940","3800","16257","62547670","61920000000","16000000"
"069730","DSR제강","KOSPI",,"3775","-120","-3.08","3895","3895","3760","22101","84000075","54360000000","14400000"
"017860","DS단석","KOSPI",,"71600","-5000","-6.53","76900","77300","71600","123667","9072771100","419676526400","5861404"
"180400","DXVX","KOSDAQ","중견기업부","2510","-320","-11.31","2930","3015","2510","2051022","5672697585","75850774320","30219432"
"017940","E1","KOSPI",,"73100","-1700","-2.27","75400","75400","72600","17307","1267172000","501466000000","6860000"
"245620","EDGC","KOSDAQ","관리종목(소속부없음)","415","0","0.00","0","0","0","0","0","57474989665","138493951"
"037370","EG","KOSDAQ","중견기업부","7190","-210","-2.84","7400","7400","7120","41540","298503830","62013548680","8624972"
"278990","EMB","KONEX","일반기업부","6190","90","1.48","6190","6190","6190","1","6190","29721786390","4801581"
"365550","ESR켄달스퀘어리츠","KOSPI",,"5090","0","0.00","5090","5210","5090","431754","2225270170","1084623010000","213089000"
"050120","ES큐브","KOSDAQ","중견기업부","2090","-40","-1.88","2130","2400","1965","885630","1938891512","28348939740","13564086"
"383220","F&F","KOSPI",,"56000","-2600","-4.44","59100","59500","55800","67458","3817501900","2145196200000","38307075"
"007700","F&F홀딩스","KOSPI",,"13200","-140","-1.05","13340","13540","13120","7232","95613180","516309644400","39114367"
"214270","FSN","KOSDAQ","중견기업부","1741","-48","-2.68","1910","2140","1740","6187441","12328479560","57889056083","33250463"
"130500","GH신소재","KOSDAQ","우량기업부","3105","35","1.14","3070","3200","3010","156204","484236525","45162386460","14545052"
"114090","GKL","KOSPI",,"11620","-450","-3.73","12230","12250","11570","305513","3581690290","718762885400","61855670"
"900290","GRT","KOSDAQ","외국기업(소속부없음)","3925","-105","-2.61","4025","4080","3825","107442","424265110","264446875000","67375000"
"078930","GS","KOSPI",,"46650","-800","-1.69","48000","48000","46150","70417","3302981850","4334502383700","92915378"
"083450","GST","KOSDAQ","우량기업부","13770","-820","-5.62","14520","14650","13750","561209","7856731760","256373440200","18618260"
"006360","GS건설","KOSPI",,"18250","-550","-2.93","18910","18980","18080","821503","14996049550","1561862192500","85581490"
"001250","GS글로벌","KOSPI",,"3275","-130","-3.82","3355","3405","3170","3158141","10297949320","270298077100","82533764"
"007070","GS리테일","KOSPI",,"22550","0","0.00","22750","22750","22200","215201","4849365450","2361389141100","104717922"
"078935","GS우","KOSPI",,"43300","400","0.93","42600","44150","42050","29098","1257061750","77282965800","1784826"
"297890","HB솔루션","KOSDAQ","우량기업부","4015","-175","-4.18","4150","4200","3990","948159","3836514145","293660769710","73140914"
"440290","HB인베스트먼트","KOSDAQ","중견기업부","1959","-41","-2.05","2000","2010","1951","45265","89244588","53102632590","27107010"
"078150","HB테크놀러지","KOSDAQ","우량기업부","2320","-80","-3.33","2415","2425","2270","1573834","3639258420","215100925120","92715916"
"012630","HDC","KOSPI",,"10830","-130","-1.19","10960","11050","10740","140721","1531664390","647002838430","59741721"
"039570","HDC랩스","KOSPI",,"8090","-110","-1.34","8120","8220","8080","11241","91442850","209996992090","25957601"
"089470","HDC현대EP","KOSPI",,"4380","-10","-0.23","4350","5390","4305","5340745","26217052815","139722000000","31900000"
"294870","HDC현대산업개발","KOSPI",,"24750","-650","-2.56","25300","25500","24100","615386","15239752450","1631206417500","65907330"
"009540","HD한국조선해양","KOSPI",,"170500","2500","1.49","168000","171700","163100","359721","60468308400","12066816278000","70773116"
